mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__average,param_clf__early_stopping,param_clf__loss,param_clf__max_iter,param_clf__tol,param_clf__validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5268232822418213,0.09687135688127776,0.05619969367980957,0.006813547436840244,0.0001,True,True,hinge,500,1e-05,0.1,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 500, 'clf__tol': 1e-05, 'clf__validation_fraction': 0.1}",0.4749705208684714,0.48061997363473974,0.477939474314054,0.4638132998187714,0.4766519823788546,0.4747990502029782,0.005794737000718484,637
0.5030957698822022,0.13119600003319834,0.053594446182250975,0.007840429611761747,0.0001,True,True,hinge,500,1e-05,0.2,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 500, 'clf__tol': 1e-05, 'clf__validation_fraction': 0.2}",0.47314781992201344,0.48114844119901,0.4874411885285907,0.4656643431465403,0.47846378220709773,0.4771731150006505,0.007369629627822644,529
0.5518448829650879,0.11908710867716994,0.05632777214050293,0.006101566959904826,0.0001,True,True,hinge,500,0.0001,0.1,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 500, 'clf__tol': 0.0001, 'clf__validation_fraction': 0.1}",0.4749705208684714,0.48061997363473974,0.477939474314054,0.4638132998187714,0.4766519823788546,0.4747990502029782,0.005794737000718484,637
0.527191162109375,0.10406047247466571,0.052124834060668944,0.0031015950116414824,0.0001,True,True,hinge,500,0.0001,0.2,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 500, 'clf__tol': 0.0001, 'clf__validation_fraction': 0.2}",0.47314781992201344,0.48114844119901,0.4874411885285907,0.4656643431465403,0.47846378220709773,0.4771731150006505,0.007369629627822644,529
0.6037704944610596,0.10478626182435663,0.05975241661071777,0.006581539287920602,0.0001,True,True,hinge,500,0.001,0.1,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 500, 'clf__tol': 0.001, 'clf__validation_fraction': 0.1}",0.4749705208684714,0.48061997363473974,0.477939474314054,0.4638132998187714,0.4766519823788546,0.4747990502029782,0.005794737000718484,637
0.451111364364624,0.0956394420079734,0.06050100326538086,0.017221327356866087,0.0001,True,True,hinge,500,0.001,0.2,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 500, 'clf__tol': 0.001, 'clf__validation_fraction': 0.2}",0.47314781992201344,0.48114844119901,0.4874411885285907,0.4656643431465403,0.47846378220709773,0.4771731150006505,0.007369629627822644,529
0.4574857711791992,0.1136422309692006,0.051382589340209964,0.006777649343488784,0.0001,True,True,hinge,1000,1e-05,0.1,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 1000, 'clf__tol': 1e-05, 'clf__validation_fraction': 0.1}",0.4749705208684714,0.48061997363473974,0.477939474314054,0.4638132998187714,0.4766519823788546,0.4747990502029782,0.005794737000718484,637
0.5749186992645263,0.1407670481699247,0.07145004272460938,0.022688696086963053,0.0001,True,True,hinge,1000,1e-05,0.2,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 1000, 'clf__tol': 1e-05, 'clf__validation_fraction': 0.2}",0.47314781992201344,0.48114844119901,0.4874411885285907,0.4656643431465403,0.47846378220709773,0.4771731150006505,0.007369629627822644,529
0.44420781135559084,0.10727957699176284,0.05368561744689941,0.009096905072339479,0.0001,True,True,hinge,1000,0.0001,0.1,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 1000, 'clf__tol': 0.0001, 'clf__validation_fraction': 0.1}",0.4749705208684714,0.48061997363473974,0.477939474314054,0.4638132998187714,0.4766519823788546,0.4747990502029782,0.005794737000718484,637
0.45142226219177245,0.09763072796557773,0.05109272003173828,0.0043059140301383155,0.0001,True,True,hinge,1000,0.0001,0.2,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 1000, 'clf__tol': 0.0001, 'clf__validation_fraction': 0.2}",0.47314781992201344,0.48114844119901,0.4874411885285907,0.4656643431465403,0.47846378220709773,0.4771731150006505,0.007369629627822644,529
0.38346428871154786,0.003648478880065617,0.04877448081970215,0.0013866421690996967,0.0001,True,True,hinge,1000,0.001,0.1,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 1000, 'clf__tol': 0.001, 'clf__validation_fraction': 0.1}",0.4749705208684714,0.48061997363473974,0.477939474314054,0.4638132998187714,0.4766519823788546,0.4747990502029782,0.005794737000718484,637
0.48409624099731446,0.0947014676290072,0.05632691383361817,0.01700552417530759,0.0001,True,True,hinge,1000,0.001,0.2,"{'clf__C': 0.0001, 'clf__average': True, 'clf__early_stopping': True, 'clf__loss': 'hinge', 'clf__max_iter': 1000, 'clf__tol': 0.001, 'clf__validation_fraction': 0.2}",0.47314781992201344,0.48114844119901,0.4874411885285907,0.4656643431465403,0.47846378220709773,0.4771731150006505,0.007369629627822644,529
